RELAxing Chain
TEA_PUN powered by openMM
make sure you have a psf and crd before running this step!(example:chainID.psf/chainID.crd)
['EXT', 'CMAP', 'CHEQ', 'XPLOR']
lonepairs found: 180
Using platform: CUDA
BUILDing SYSTem
Forced Cubic Box a=Quantity(value=40.4588666763, unit=angstrom)
MINImizing ENERgy

INITial SYSTem ENERgy
-1153.5996500315741 kJ/mol
STARting DYNAmics
#"Step"	"Total Energy (kJ/mole)"
1000	373.03865563248837
2000	493.43159996842587
3000	524.8435262379571
4000	213.16792809342587
5000	181.39491783951962
6000	162.47603356217587
7000	51.47542321061337
8000	253.91377770280087
9000	171.18868004655087
10000	41.43843590592587
11000	18.37862145280087
12000	52.47603356217587
13000	49.44612633561337
14000	114.96828209733212
15000	105.61678063248837
16000	69.59981285905087
17000	170.84181725358212
18000	-7.286051398761629
19000	-17.48026526594913
20000	123.05928551530087
21000	171.13899742936337
22000	119.15840660905087
23000	49.66597496842587
24000	11.525533073894621
25000	77.89027916764462
26000	92.16780602311337
27000	140.92500817155087
28000	46.18831383561337
29000	25.41341149186337
30000	99.59523522233212
31000	62.94868981217587
32000	103.22188317155087
33000	130.88771569108212
34000	132.64217125748837
35000	143.28914391373837
36000	81.80696617936337
37000	-50.91764319563663
38000	-53.05362952376163
39000	12.396321648113371
40000	-10.708414680011629
41000	-18.28251135969913
42000	-10.118754035480379
43000	102.80928551530087
44000	130.11617028092587
45000	51.32655846451962
46000	21.84407555436337
47000	58.44960533951962
48000	-17.34134925032413
49000	11.027974480144621
50000	-79.20756018782413
51000	-33.70591223860538
52000	-42.12870276594913
53000	129.67805992936337
54000	107.28767906998837
55000	-11.838846808917879
56000	28.86263024186337
57000	-10.577189094074129
58000	81.93758141373837
59000	-11.043375617511629
60000	34.49318444108212
61000	72.96053063248837
62000	-17.72440589094913
63000	10.935689323894621
64000	-42.39444983626163
65000	-20.65226233626163
66000	-13.476847297199129
67000	23.73061119889462
68000	-198.78629553938663
69000	-184.86210120344913
70000	-165.64115393782413
71000	-3.3737589182928787
72000	-29.41276038313663
73000	-21.00101721907413
74000	-73.88712561751163
75000	-91.71488440657413
76000	-127.09415686751163
77000	-81.68912757063663
78000	-89.00138343001163
79000	-201.53556311751163
80000	-228.38736975813663
81000	-178.36490882063663
82000	-94.52360022688663
83000	-206.37510169173038
84000	-217.50419104719913
85000	-139.35380042219913
86000	-26.11332190657413
87000	-212.53867591048038
88000	-214.36106360579288
89000	-238.75980628157413
90000	-197.96402991438663
91000	-170.01920569563663
92000	-149.57145178938663
93000	-183.93332923079288
94000	-238.42362464094913
95000	-219.06168616438663
96000	-87.32535803938663
97000	-99.24741614485538
98000	-111.51450598860538
99000	-145.60196936751163
100000	-82.90586341048038
101000	-103.06876624251163
102000	-127.37461341048038
103000	-144.35453284407413
104000	-50.35105384016788
105000	-132.79117835188663
106000	-136.76224768782413
107000	-62.18241370344913
108000	-120.70646155501163
109000	-150.40067542219913
110000	-136.03623450423038
111000	-187.72965491438663
112000	-144.85257971907413
113000	-76.96488440657413
114000	-104.69053137923038
115000	-113.27524817610538
116000	-59.52945960188663
117000	53.26143395280087
118000	-239.46940100813663
119000	-214.49125159407413
120000	-168.79423010969913
121000	-177.36686194563663
122000	-78.30686438704288
123000	-290.84256995344913
124000	-200.51041663313663
125000	-215.67411292219913
126000	-210.73874915266788
127000	-128.88077796126163
128000	-172.65342200423038
129000	-237.37589514876163
130000	-197.85587561751163
131000	-110.01835120344913
132000	-151.55485022688663
133000	-152.98624671126163
134000	-204.35538733626163
135000	-219.05832923079288
136000	-247.37797034407413
137000	-206.58750403548038
138000	-181.74363196516788
139000	-279.8132120432929
140000	-228.19755042219913
141000	-172.36966956282413
142000	-98.89872229719913
143000	-122.21280921126163
144000	-289.1513468089179
145000	-342.26334632063663
146000	-356.08390296126163
147000	-277.34415686751163
148000	-282.8598429026679
149000	-178.85190833235538
150000	-161.82291663313663
151000	-172.59110510969913
152000	-275.27750647688663
153000	-362.23697913313663
154000	-275.14396155501163
155000	-306.45841468001163
156000	-203.58060706282413
157000	-195.51560462141788
158000	-304.22538245344913
159000	-275.91800940657413
160000	-285.06400550032413
161000	-302.13590491438663
162000	-345.3541055979804
163000	-350.23087561751163
164000	-263.93558753157413
165000	-344.1623331370429
166000	-337.6862589182929
167000	-274.26725257063663
168000	-204.21634925032413
169000	-219.39914954329288
170000	-167.35404456282413
171000	-245.23966468001163
172000	-357.65629065657413
173000	-117.65171301985538
174000	-270.4952188792304
175000	-311.15323889876163
176000	-332.01627600813663
177000	-235.74991858626163
178000	-286.76359046126163
179000	-346.56156409407413
180000	-350.9960733714179
181000	-266.49955237532413
182000	-305.91605628157413
183000	-320.62089026594913
184000	-219.00638831282413
185000	-236.54746497298038
186000	-288.18839514876163
187000	-235.19468176985538
188000	-270.29459632063663
189000	-395.6136270823554
190000	-278.18241370344913
191000	-238.46073401594913
192000	-179.85312903548038
193000	-180.29532874251163
194000	-234.26633704329288
195000	-437.0199991526679
196000	-361.51371253157413
197000	-329.2968546214179
198000	-369.5882364573554
199000	-323.45255530501163
200000	-209.23551428938663
201000	-368.75504553938663
202000	-298.26114905501163
203000	-263.74381507063663
204000	-365.8086954417304
205000	-376.7087198557929
206000	-359.3753458323554
207000	-173.46586096907413
208000	-233.32267249251163
209000	-280.50602210188663
210000	-258.3536173167304
211000	-267.14469397688663
212000	-229.85172522688663
213000	-302.46647132063663
214000	-304.0610147776679
215000	-283.97648108626163
216000	-297.51810706282413
217000	-215.48496497298038
218000	-193.53470862532413
219000	-263.73514807844913
220000	-307.57401526594913
221000	-211.30405676985538
222000	-270.13895667219913
223000	-194.25956214094913
224000	-297.00358069563663
225000	-231.67801917219913
226000	-192.35624182844913
227000	-353.03116858626163
228000	-313.1989542307929
229000	-418.97794593001163
230000	-326.84134925032413
231000	-341.86942542219913
232000	-334.50980628157413
233000	-307.78971350813663
234000	-226.66868079329288
235000	-294.66532385969913
236000	-90.99833167219913
237000	-262.3403116526679
238000	-161.18485510969913
239000	-129.51829016829288
240000	-262.4939981761054
241000	-222.77781165266788
242000	-286.38163245344913
243000	-298.29691565657413
244000	-226.73087561751163
245000	-236.27762854719913
246000	-315.0994669261054
247000	-249.34415686751163
248000	-326.54642737532413
249000	-270.59952796126163
250000	-264.53751624251163
251000	-285.03629553938663
252000	-243.40824378157413
253000	-183.86081946516788
254000	-165.96287024641788
255000	-272.32023108626163
256000	-268.61844885969913
257000	-312.66178382063663
258000	-275.24393714094913
259000	-251.78678382063663
260000	-274.62552893782413
261000	-211.16959632063663
262000	-281.82877600813663
263000	-243.04313147688663
264000	-217.71659339094913
265000	-330.0079141917304
266000	-382.17789710188663
267000	-190.26865637923038
268000	-171.32004798079288
269000	-330.25931800032413
270000	-388.47147620344913
